Date;rfr;t;n;Underlying
09.05.2008;1,68%;60;2;21,45
12.05.2008;1,79%;60;3;20,82
13.05.2008;1,82%;60;4;20,78
14.05.2008;1,82%;60;5;20,32
15.05.2008;1,83%;60;6;19,88
16.05.2008;1,84%;60;7;20,14
19.05.2008;1,85%;60;8;19,76
20.05.2008;1,86%;60;9;20,82
21.05.2008;1,86%;60;10;23,58
22.05.2008;1,86%;59;11;23,56
23.05.2008;1,85%;58;12;24,04
27.05.2008;1,89%;57;13;23,70
28.05.2008;1,88%;56;14;23,25
29.05.2008;1,90%;55;15;22,07
30.05.2008;1,88%;54;16;21,77
02.06.2008;1,83%;53;17;22,80
03.06.2008;1,84%;52;18;23,18
04.06.2008;1,84%;51;19;23,09
05.06.2008;1,84%;50;20;22,13
06.06.2008;1,83%;49;21;23,94
09.06.2008;1,88%;48;22;23,43
10.06.2008;2,01%;47;23;23,47
11.06.2008;1,94%;46;24;24,05
12.06.2008;1,99%;45;25;23,88
13.06.2008;1,97%;44;26;23,00
16.06.2008;1,95%;43;27;22,74
17.06.2008;1,98%;42;28;22,68
18.06.2008;1,92%;60;29;23,37
19.06.2008;1,90%;59;30;23,17
20.06.2008;1,85%;58;31;23,43
23.06.2008;1,88%;57;32;23,49
24.06.2008;1,83%;56;33;23,70
25.06.2008;1,79%;55;34;22,75
26.06.2008;1,71%;54;35;24,25
27.06.2008;1,66%;53;36;24,18
30.06.2008;1,73%;52;37;23,93
01.07.2008;1,86%;51;38;23,80
02.07.2008;1,81%;50;39;24,95
03.07.2008;1,84%;49;40;24,69
07.07.2008;1,81%;48;41;24,78
08.07.2008;1,85%;47;42;23,54
09.07.2008;1,79%;46;43;24,69
10.07.2008;1,66%;45;44;24,86
11.07.2008;1,58%;44;45;25,25
14.07.2008;1,45%;43;46;25,89
15.07.2008;1,33%;42;47;26,12
16.07.2008;1,35%;60;48;24,48
17.07.2008;1,39%;59;49;23,99
18.07.2008;1,45%;58;50;23,80
21.07.2008;1,42%;57;51;23,44
22.07.2008;1,54%;56;52;22,74
23.07.2008;1,55%;55;53;22,78
24.07.2008;1,64%;54;54;23,72
25.07.2008;1,72%;53;55;23,63
28.07.2008;1,69%;52;56;24,24
29.07.2008;1,71%;51;57;22,99
30.07.2008;1,68%;50;58;22,10
31.07.2008;1,66%;49;59;22,94
01.08.2008;1,66%;48;60;23,04
04.08.2008;1,69%;47;61;23,01
05.08.2008;1,73%;46;62;22,12
06.08.2008;1,64%;45;63;21,58
07.08.2008;1,67%;44;64;22,52
08.08.2008;1,69%;43;65;21,87
11.08.2008;1,81%;42;66;21,68
12.08.2008;1,85%;41;67;22,46
13.08.2008;1,83%;40;68;22,93
14.08.2008;1,85%;39;69;22,15
